Date,Name,Sold,Previous %,New %,Ticker
22-08-24,Wesley Jon Maas,16294836,58.7,53.4,MGH
21-02-25,Telstra Super Pty Ltd,580021,7.71,6.62,MXI
21-02-25,Spheria Asset Management Pty Limited,578807,11.69,10.59,MXI
30-08-24,Perpetual Limited and subsidiaries,1956793,12.57,9.03,MXI
31-05-24,Naos Asset Management Limited,1310147,18.18,15.77,MXI
28-02-25,Advanced Science and Innovation Company LLC,19717068,13.6,--,MPW
25-09-24,Masfen Securities Limited,25787881,25.1,11.21,MPP
25-09-24,Takutai Limited,26277429,25.1,10.95,MPP
23-04-25,BlackRock Group,4961169,5.01,--,MND
11-04-25,BlackRock Group,4941769,5.02,--,MND
20-03-25,State Street Corporation and subsidiaries,5011202,5.08,--,MND
18-03-25,State Street Corporation and subsidiaries,4989950,5.05,--,MND
28-02-25,State Street Corporation and subsidiaries,4941413,5.00,--,MND
27-09-24,BlackRock Group,4914673,5.00,--,MND
24-09-24,BlackRock Group,4913895,5.00,--,MND
10-09-24,BlackRock Group,4914089,5.00,--,MND
04-02-25,Australian Retirement Trust Pty Ltd,23576441,5.16,--,NWH
29-01-25,Australian Retirement Trust Pty Ltd,4573152,6.16,5.16,NWH
29-10-24,State Street Corporation and subsidiaries,23153865,5.06,--,NWH
18-10-24,State Street Corporation and subsidiaries,22885927,5.01,--,NWH
10-10-24,State Street Corporation and subsidiaries,23303364,5.10,--,NWH
18-09-24,State Street Corporation and subsidiaries,23561779,5.18,--,NWH
13-09-24,State Street Corporation and subsidiaries,24550727,5.39,--,NWH
11-09-24,State Street Corporation and subsidiaries,22799881,5.01,--,NWH
06-09-24,State Street Corporation and subsidiaries,22848225,5.02,--,NWH
