Name,Last Notice,Total Shares,Shares Held (%),Ticker
SKM Investment Group Pty Ltd,20/08/2024,30810000,57.26,FOS
David William Riches,21/08/2024,93583947,52.66,GNP
The Vanguard GroupInc,18/11/2024,13315278,5.02,GWA
Spheria Asset Management Pty Ltd,01/05/2025,18094570,6.82,GWA
Perpetual Limited and subsidiaries,19/03/2025,46036967,17.36,GWA
AD and MP Beard,17/04/2025,37272332,6.85,HNG
James Family Investments Ltd,17/04/2025,68000777,12.50,HNG
Perennial Value Management Limited,30/04/2025,66751231,12.27,HNG
FirstCape Group Limited,04/12/2024,49429531,5.11,IFT
Comet Resources Limited,25/09/2024,32776320,16.93,IG6
Juad Pty Ltd,25/09/2024,13537326,6.99,IG6
Keith William Toose,30/08/2024,6132647,5.93,IPG
MA Financial Group Limited,23/01/2025,10276024,9.91,IPG
QVG Capital Pty Ltd,02/10/2024,5620250,5.42,IPG
Greencape Capital Pty Ltd,02/12/2024,5312843,5.12,IPG
Challenger Limited,02/12/2024,5312843,5.12,IPG
Mohamed Yoosuff,05/09/2024,10284704,9.95,IPG
Capital Research and Management Company,30/06/2024,17606087,7.85,JLG
Scott Didier,30/06/2024,480250,17.90,JLG
JLRX Investments Pty Ltd,30/06/2024,48966567,17.73,JLG
Fisher Funds Management Limited,23/09/2024,21146605,7.59,JLG
JPmorgan Chase & Co. and its affiliates,16/04/2025,14860566,5.25,JLG
Donald Cant Pty Ltd,25/07/2024,621759,5.30,KOV
Perpetual Limited and subsidiaries,08/11/2024,588266,5.01,KOV
Rex John Hooper,29/07/2024,6883916,5.90,LBL
Wayne Edward Hooper,29/07/2024,1965498,1.68,LBL
Wayne Edward Hooper,29/07/2024,9433797,8.08,LBL
Diane Constance Hooper,29/07/2024,9433797,8.08,LBL
PPK Aust Pty Ltd,13/08/2024,290849069,45.43,LIS
Deakin University,13/08/2024,83333333,13.02,LIS
PPK Aust. Pty Ltd,31/10/2024,251235441,39.24,LIS
BNP Paribas Nominees Pty Ltd,13/08/2024,3497134,8.80,LYL
HSBC Custody Nominees (Australia) Limited,13/08/2024,1583482,3.98,LYL
Reesh Pty Ltd,13/08/2024,9046221,22.76,LYL
Ubs Nominees Pty Ltd,13/08/2024,2761609,6.95,LYL
Citicorp Nominees Limited,13/08/2024,2447287,6.16,LYL
W & E Maas,07/08/2024,173381789,52.87,MGH
Wesley Jon Maas,03/12/2024,175057159,49.40,MGH
James Robert Curtis,16/07/2024,5793098,10.50,MXI
HGT Investments Pty Ltd,16/07/2024,6954102,12.60,MXI
Telstra Super Pty Ltd,21/02/2025,3662463,6.62,MXI
Spheria Asset Management Pty Limited,21/02/2025,5856894,10.59,MXI
Naos Asset Management Limited,17/04/2025,12063061,21.76,MXI
Perpetual Limited and subsidiaries,30/08/2024,4978520,9.03,MXI
Nightingale Partners Pty Limited,22/07/2024,40812608,44.62,MYG
Amteal Pty Limited,22/07/2024,12487275,13.65,MYG
BNP Paribas Nominees Pty Ltd,22/07/2024,7761704,8.49,MYG
HSBC Custody Nominees (Australia) Limited,30/09/2024,7174135,9.78,MPW
Neil Garry Le Quesne,30/09/2024,4784963,6.53,MPW
Maybank Securities Pte. Ltd,06/03/2025,10000000,7.18,MPW
John Barnes,28/02/2025,19267133,13.83,MPW
BCC SSA I LLC,31/03/2024,12522769,6.75,MPP
Masfen Securities Limited,25/09/2024,20778778,11.21,MPP
Takutai Limited,25/09/2024,20289230,10.95,MPP
State Street Corporation and subsidiaries,21/03/2025,5335836,5.40,MND
Vanguard Group,20/12/2024,6037462,6.11,MND
Mr S Leung Kwok Yin,14/03/2024,28405454,20.84,MSI
Mr Siu Wai Yan,14/03/2024,34567498,25.36,MSI
Vanguard Group,07/03/2025,28251449,6.18,NWH
State Street Corporation and subsidiaries,21/01/2025,27710280,6.06,NWH
Australian Retirement Trust Pty Ltd,26/03/2025,22995770,5.03,NWH
Clear Port Aus Pty Ltd,23/09/2024,11764654,5.55,OLH
Williams Lewis Timms,23/09/2024,39173778,18.47,OLH
EQM Holdings Pty Ltd,23/09/2024,85530329,40.33,OLH
EQM Holdings Pty Ltd,23/09/2024,22338461,10.53,OLH
