Name,Last Notice,Total Shares,Shares Held (%),Ticker
Mirrabooka Investment Pty Ltd,20/2/2025,28860476,7.58,EGL
Denise Richardson,23/8/2024,32535382,8.71,EGL
JALIE 2 PTY LTD,13/9/2024,28403913,7.46,EGL
Greencape Capital Pty Ltd,14/1/2025,35704882,9.38,EGL
Challenger Limited,14/1/2025,35704882,9.38,EGL
Airlie Beach Holdings Pty Ltd,9/8/2024,12293264,10.15,EVZ
Bond Street Custodians Limited,9/8/2024,21500000,17.76,EVZ
Ubs Nominees Pty Ltd,9/8/2024,23807384,19.66,EVZ
L. J. Catelan,12/9/2024,14883395,51.33,ECL
P E J Murray,12/9/2024,3740689,12.9,ECL
London City Equities Limited,3/1/2025,3991083,13.76,ECL
FIL Limited and the entities,7/10/2024,167776082,9.9,FBR
M&G Investments (Singapore) Pte. Ltd,7/10/2024,675518427,14,FBR
Mark Joseph Pivac,2/4/2025,333205167,5.91,FBR
M and G Plc,2/4/2025,675518427,11.99,FBR
Horsley Park Holdings Pty Ltd,2/4/2025,731676967,12.99,FBR
Allan Gray Australia Pty Ltd,30/9/2024,181940961,17.7,FBU
Schroder Investment Management Australia Limited,30/9/2024,80199780,7.8,FBU
HGL Limited,20/8/2024,8949306,16.36,FOS
SKM Investment Group Pty Ltd,20/8/2024,30810000,57.26,FOS
David William Riches,21/8/2024,93583947,52.66,GNP
The Vanguard GroupInc,18/11/2024,13315278,5.02,GWA
Spheria Asset Management Pty Ltd,1/5/2025,18094570,6.82,GWA
Perpetual Limited and subsidiaries,19/3/2025,46036967,17.36,GWA
AD and MP Beard,17/4/2025,37272332,6.85,HNG
James Family Investments Ltd,17/4/2025,68000777,12.5,HNG
Perennial Value Management Limited,30/4/2025,66751231,12.27,HNG
FirstCape Group Limited,4/12/2024,49429531,5.11,IFT
Comet Resources Limited,25/9/2024,32776320,16.93,IG6
Juad Pty Ltd,25/9/2024,13537326,6.99,IG6
Keith William Toose,30/8/2024,6132647,5.93,IPG
MA Financial Group Limited,23/1/2025,10276024,9.91,IPG
QVG Capital Pty Ltd,2/10/2024,5620250,5.42,IPG
Greencape Capital Pty Ltd,2/12/2024,5312843,5.12,IPG
Challenger Limited,2/12/2024,5312843,5.12,IPG
Mohamed Yoosuff,5/9/2024,10284704,9.95,IPG
Capital Research and Management Company,30/6/2024,17606087,7.85,JLG
Scott Didier,30/6/2024,480250,17.9,JLG
JLRX Investments Pty Ltd,30/6/2024,48966567,17.73,JLG
Fisher Funds Management Limited,23/9/2024,21146605,7.59,JLG
JPmorgan Chase & Co. and its affiliates,16/4/2025,14860566,5.25,JLG
Donald Cant Pty Ltd,25/7/2024,621759,5.3,KOV
Perpetual Limited and subsidiaries,8/11/2024,588266,5.01,KOV
Rex John Hooper,29/7/2024,6883916,5.9,LBL
Wayne Edward Hooper,29/7/2024,1965498,1.68,LBL
Wayne Edward Hooper,29/7/2024,9433797,8.08,LBL
Diane Constance Hooper,29/7/2024,9433797,8.08,LBL
PPK Aust Pty Ltd,13/8/2024,290849069,45.43,LIS
Deakin University,13/8/2024,83333333,13.02,LIS
PPK Aust. Pty Ltd,31/10/2024,251235441,39.24,LIS
BNP Paribas Nominees Pty Ltd,13/8/2024,3497134,8.8,LYL
HSBC Custody Nominees (Australia) Limited,13/8/2024,1583482,3.98,LYL
Reesh Pty Ltd,13/8/2024,9046221,22.76,LYL
Ubs Nominees Pty Ltd,13/8/2024,2761609,6.95,LYL
Citicorp Nominees Limited,13/8/2024,2447287,6.16,LYL
W & E Maas,7/8/2024,173381789,52.87,MGH
Wesley Jon Maas,3/12/2024,175057159,49.4,MGH
James Robert Curtis,16/7/2024,5793098,10.5,MXI
HGT Investments Pty Ltd,16/7/2024,6954102,12.6,MXI
Telstra Super Pty Ltd,21/2/2025,3662463,6.62,MXI
Spheria Asset Management Pty Limited,21/2/2025,5856894,10.59,MXI
Naos Asset Management Limited,17/4/2025,12063061,21.76,MXI
Perpetual Limited and subsidiaries,30/8/2024,4978520,9.03,MXI
Nightingale Partners Pty Limited,22/7/2024,40812608,44.62,MYG
Amteal Pty Limited,22/7/2024,12487275,13.65,MYG
BNP Paribas Nominees Pty Ltd,22/7/2024,7761704,8.49,MYG
HSBC Custody Nominees (Australia) Limited,30/9/2024,7174135,9.78,MPW
Neil Garry Le Quesne,30/9/2024,4784963,6.53,MPW
Maybank Securities Pte. Ltd,6/3/2025,10000000,7.18,MPW
John Barnes,28/2/2025,19267133,13.83,MPW
BCC SSA I LLC,31/3/2024,12522769,6.75,MPP
Masfen Securities Limited,25/9/2024,20778778,11.21,MPP
Takutai Limited,25/9/2024,20289230,10.95,MPP
