Date,Name,Bought,Previous %,New %,Ticker
10-01-25,State Street Corporation and subsidiaries,44086785,--,5.06,DRO
20-12-24,Vanguard Group (The Vanguard Group Inc. and its  controlled entities),47669725,--,5.47,DRO
09-09-24,Australian Meat Industry Superannuation Pty Ltd,22549331,83.23,98.98,DDB
06-09-24,Australian Meat Industry Superannuation Pty Ltd,1491493,82.19,83.23,DDB
03-09-24,Australian Meat Industry Superannuation Pty Ltd,1540788,81.11,82.19,DDB
30-08-24,Australian Meat Industry Superannuation Pty Ltd,24073521,64.34,81.11,DDB
21-08-24,Australian Meat Industry Superannuation Pty Ltd,982195,65.48,64.34,DDB
20-08-24,Australian Meat Industry Superannuation Pty Ltd,2140932,63.95,65.48,DDB
15-08-24,Australian Meat Industry Superannuation Pty Ltd,1809213,62.64,63.95,DDB
13-08-24,Australian Meat Industry Superannuation Pty Ltd,1414006,61.63,62.64,DDB
09-08-24,Australian Meat Industry Superannuation Pty Ltd,35893534,35.81,61.63,DDB
08-08-24,Harvest Lane Asset Management Pty Ltd,1670713,14.85,16.05,DDB
07-08-24,Harvest Lane Asset Management Pty Ltd,2854274,12.79,14.85,DDB
07-08-24,Australian Meat Industry Superannuation Pty Ltd,2502786,34.01,35.81,DDB
06-08-24,Australian Meat Industry Superannuation Pty Ltd,19656574,19.87,34.01,DDB
06-08-24,Harvest Lane Asset Management Pty Ltd,10640577,5.14,12.79,DDB
01-08-24,Harvest Lane Asset Management Pty Ltd,7148223,--,5.14,DDB
11-07-24,Australian Meat Industry Superannuation Pty Ltd,27633000,--,19.87,DDB
17-03-25,EOS Loan Plan Pty Ltd,988940,7.95,5.70,EOS
29-07-24,Archon Capital Management LLC,8629115,5.04,--,EOS
28-02-25,Black Diamond Capital Management LLC and the related bodies corporate,5202434,39.65,40.65,EHL
17-12-24,Black Diamond Capital Management LLC and the related bodies corporate,5898149,38.51,39.65,EHL
03-06-24,Black Diamond Capital Management LLC and the related bodies corporate,7061791,37.15,38.51,EHL
31-05-24,Black Diamond Capital Management LLC and the related bodies corporate,5212785,36.10,37.15,EHL
20-02-25,Mirrabooka Investment Pty Ltd,6652285,6.12,7.58,EGL
14-01-25,Greencape Capital Pty Ltd,6046350,7.79,9.38,EGL
14-01-25,Challenger Limited,6046350,7.79,9.38,EGL
20-11-24,Challenger Limited,5397326,6.50,7.79,EGL
20-11-24,Greencape Capital Pty Ltd,5397326,6.50,7.79,EGL
13-09-24,JALIE 2 PTY LTD,8066666,6.30,7.46,EGL
23-08-24,Greencape Capital Pty Ltd,5536399,5.01,6.50,EGL
23-08-24,Challenger Limited,5536399,5.01,6.50,EGL
03-01-25,London City Equities Limited,291603,12.76,13.76,ECL
11-06-24,Baauer Pty Ltd,1451382,--,5.01,ECL
02-04-25,M and G Plc,20000000,13.02,11.99,FBR
30-08-24,M&G Investments (Singapore) Pte. Ltd,481927803,--,10.06,FBR
09-08-24,M and G Plc,186058385,12.33,14.10,FBR
09-08-24,Horsley Park Holdings Pty Ltd,76328894,16.49,15.27,FBR
30-09-24,Schroder Investment Management Australia Limited,24102160,7.16,7.80,FBU
30-09-24,Schroder Investment Management Australia Limited,24102160,7.16,10.24,FBU
30-09-24,Allan Gray Australia Pty Ltd,63165393,15.17,17.70,FBU
20-09-24,Schroder Investment Management Australia Limited,15850431,5.14,7.16,FBU
26-08-24,Allan Gray Australia Pty Ltd,7885658,14.16,15.17,FBU
23-07-24,Schroder Investment Management Australia Limited,40247189,--,5.14,FBU
