id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
3987,PERPETUAL,WJL,2025-05-06,change,6.321,5.184
8013,CITIGROUP GLOBAL MARKETS AUSTRALIA,IEL,2025-05-07,new,4.9,5.0392
9039,SPHERIA ASSET MANAGEMENT,AGI,2025-05-05,cease,5.26,4.9
9533,ALLAN GRAY AUSTRALIA,AGI,2025-05-07,change,6.97,5.96
10994,TANARRA CAPITAL AUSTRALIA,BBT,2025-05-08,new,,8.0
14974,SIMON MORRISON,SHJ,2025-05-09,change,49.29,50.34
14975,STEPHEN ROCHE,SHJ,2025-05-09,change,49.29,50.34
