id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
8845,PERENNIAL VALUE MANAGEMENT,HCF,2025-05-06,change,14.66,13.31
8846,PERENNIAL VALUE MANAGEMENT,HCF,2025-05-07,change,13.31,11.7
8847,PERENNIAL VALUE MANAGEMENT,HCF,2025-05-09,change,7.73,4.9
