id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
5309,STATE STREET CORPORATION,ZIP,2025-05-07,change,7.851,5.721
5818,STATE STREET CORPORATION,CGF,2025-05-07,new,4.9,5.01
5819,STATE STREET CORPORATION,CGF,2025-05-08,cease,5.01,4.9
7076,MITSUBISHI UFJ FINANCIAL GROUP,MAF,2025-05-08,change,10.2,11.22
10014,HANCOCK & GORE,EDC,2025-05-09,cease,5.75,4.9
11063,UNISUPER,ASX,2025-05-08,change,12.4,10.69
12372,KALUKI,EDC,2025-05-08,cease,5.15,4.9
13313,ISX FINANCIAL EU PLC,NSX,2025-05-07,change,30.345,27.595
15529,ANEX INDUSTRIAL CORPORATION,ABE,2025-05-09,cease,,4.9
