id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
4523,MILFORD ASSET MANAGEMENT,CQR,2025-05-05,cease,5.514,4.9
7604,BLACKROCK GROUP,NSR,2025-05-09,change,8.91,7.82
9749,SALT FUNDS MANAGEMENT,GDI,2025-05-05,cease,5.999,4.9
