"Filename","RepType Code","Description","Ticker","Date"
"2025011402903102","02003","Ceasing to be substantial holder","LRS","2025-01-14"
"2025011402903107","02001","Becoming substantial holder","MEC","2025-01-14"
"2025011402903118","02003","Ceasing to be substantial holder","AI1","2025-01-14"
"2025011402903125","02003","Ceasing to be substantial holder","CMM","2025-01-14"
"2025011402903134","02002","Change in substantial holding","REZ","2025-01-14"
"2025011502903152","02001","Becoming substantial holder","HRE","2025-01-15"
"2025011502903163","02002","Change in substantial holding","PDN","2025-01-15"
"2025011502903173","02002","Change in substantial holding","NVA","2025-01-15"
"2025011502903174","02002","Change in substantial holding","MKG","2025-01-15"
"2025011502903191","02002","Change in substantial holding","SIX","2025-01-15"
"2025011502903192","02002","Change in substantial holding","REZ","2025-01-15"
"2025011502903228","02002","Change in substantial holding","BOT","2025-01-15"
"2025011502903245","02002","Change in substantial holding","TNC","2025-01-15"
"2025011502903250","02001","Becoming substantial holder","BNZ","2025-01-15"
"2025011502903282","02003","Ceasing to be substantial holder","AKN","2025-01-15"
"2025011502903311","02002","Change in substantial holding","AKN","2025-01-15"
"2025011502903328","02002","Change in substantial holding","DCL","2025-01-15"
"2025011502903345","02002","Change in substantial holding","SKM","2025-01-15"
"2025011502903349","02001","Becoming substantial holder","AI1","2025-01-15"
"2025011502903366","02003","Ceasing to be substantial holder","TON","2025-01-15"
"2025011502903383","03002","Top 20 shareholders","SX2","2025-01-15"
"2025011502903407","02002","Change in substantial holding","MQG","2025-01-15"
"2025011502903436","02002","Change in substantial holding","PVL","2025-01-15"
"2025011502903460","02003","Ceasing to be substantial holder","CMM","2025-01-15"
"2025011502903462","02003","Ceasing to be substantial holder","TMG","2025-01-15"
"2025011502903463","02003","Ceasing to be substantial holder","SGF","2025-01-15"
"2025011502903469","02001","Becoming substantial holder","PGC","2025-01-15"
"2025011502903479","02001","Becoming substantial holder","CMM","2025-01-15"
"2025011502903480","02001","Becoming substantial holder","NH3","2025-01-15"
"2025011502903496","02001","Becoming substantial holder","KAR","2025-01-15"
"2025011502903510","02002","Change in substantial holding","SLH","2025-01-15"
"2025011602903527","02002","Change in substantial holding","VN8","2025-01-16"
"2025011602903552","02001","Becoming substantial holder","IRE","2025-01-16"
"2025011602903590","02001","Becoming substantial holder","NVA","2025-01-16"
"2025011602903600","02002","Change in substantial holding","BGL","2025-01-16"
"2025011602903609","02002","Change in substantial holding","OFX","2025-01-16"
"2025011602903647","02002","Change in substantial holding","BCN","2025-01-16"
"2025011602903653","02002","Change in substantial holding","LAU","2025-01-16"
"2025011602903660","02003","Ceasing to be substantial holder","C7A","2025-01-16"
"2025011602903684","02001","Becoming substantial holder","SDR","2025-01-16"
"2025011602903700","02002","Change in substantial holding","WCN","2025-01-16"
"2025011602903701","02003","Ceasing to be substantial holder","AHN","2025-01-16"
"2025011602903703","02002","Change in substantial holding","AHN","2025-01-16"
"2025011602903708","02001","Becoming substantial holder","LRK","2025-01-16"
"2025011602903774","02002","Change in substantial holding","EGL","2025-01-16"
"2025011602903775","02002","Change in substantial holding","EGL","2025-01-16"
"2025011602903778","02001","Becoming substantial holder","1TT","2025-01-16"
"2025011602903779","02002","Change in substantial holding","1TT","2025-01-16"
"2025011602903791","02001","Becoming substantial holder","ANN","2025-01-16"
"2025011602903823","02001","Becoming substantial holder","MDR","2025-01-16"
