"Filename","RepType Code","Description","Ticker","Date"
"2025042402939340","02002","Change in substantial holding","BCN","2025-04-24"
"2025042402939342","02001","Becoming substantial holder","BPT","2025-04-24"
"2025042402939343","02002","Change in substantial holding","CTD","2025-04-24"
"2025042402939344","03002","Top 20 shareholders","TON","2025-04-24"
"2025042402939352","02001","Becoming substantial holder","IMD","2025-04-24"
"2025042402939353","02001","Becoming substantial holder","JLG","2025-04-24"
"2025042402939354","02003","Ceasing to be substantial holder","NEC","2025-04-24"
"2025042402939356","02002","Change in substantial holding","VEA","2025-04-24"
"2025042802939372","02002","Change in substantial holding","SGR","2025-04-28"
"2025042802939375","02002","Change in substantial holding","DEG","2025-04-28"
"2025042802939382","02003","Ceasing to be substantial holder","MND","2025-04-28"
"2025042802939383","02002","Change in substantial holding","DEG","2025-04-28"
"2025042802939384","02003","Ceasing to be substantial holder","BGL","2025-04-28"
"2025042802939393","02003","Ceasing to be substantial holder","PSC","2025-04-28"
"2025042802939394","02001","Becoming substantial holder","TTT","2025-04-28"
"2025042802939408","02002","Change in substantial holding","CTT","2025-04-28"
"2025042802939409","02003","Ceasing to be substantial holder","DEG","2025-04-28"
"2025042802939410","02003","Ceasing to be substantial holder","JLG","2025-04-28"
"2025042802939411","02002","Change in substantial holding","NST","2025-04-28"
"2025042802939412","02002","Change in substantial holding","TWE","2025-04-28"
"2025042802939415","02001","Becoming substantial holder","DRO","2025-04-28"
"2025042802939416","02003","Ceasing to be substantial holder","RIO","2025-04-28"
"2025042802939417","02003","Ceasing to be substantial holder","JBH","2025-04-28"
"2025042802939427","02003","Ceasing to be substantial holder","PRU","2025-04-28"
"2025042802939432","02001","Becoming substantial holder","CRR","2025-04-28"
"2025042802939563","03002","Top 20 shareholders","AGI","2025-04-28"
"2025042802939720","02001","Becoming substantial holder","SXL","2025-04-28"
"2025042802939768","02002","Change in substantial holding","FRS","2025-04-28"
"2025042802939787","03002","Top 20 shareholders","MSI","2025-04-28"
"2025042802939840","02001","Becoming substantial holder","ACL","2025-04-28"
"2025042802939846","02003","Ceasing to be substantial holder","CHC","2025-04-28"
"2025042802939906","03002","Top 20 shareholders","WMX","2025-04-28"
"2025042802939927","02001","Becoming substantial holder","TTT","2025-04-28"
"2025042802939931","02002","Change in substantial holding","DCC","2025-04-28"
"2025042802939934","02002","Change in substantial holding","NNL","2025-04-28"
"2025042802939947","02002","Change in substantial holding","D2O","2025-04-28"
"2025042802939950","02001","Becoming substantial holder","BPT","2025-04-28"
"2025042802939965","02001","Becoming substantial holder","IEL","2025-04-28"
"2025042802939966","02003","Ceasing to be substantial holder","IEL","2025-04-28"
"2025042802939978","02002","Change in substantial holding","PYC","2025-04-28"
"2025042802939979","02002","Change in substantial holding","ZIP","2025-04-28"
"2025042802939985","02001","Becoming substantial holder","SMR","2025-04-28"
"2025042802939992","02002","Change in substantial holding","GT1","2025-04-28"
"2025042802939996","03002","Top 20 shareholders","LIT","2025-04-28"
"2025042802940001","02001","Becoming substantial holder","WAF","2025-04-28"
"2025042802940005","02002","Change in substantial holding","HCF","2025-04-28"
"2025042802940008","02001","Becoming substantial holder","CHC","2025-04-28"
"2025042802940009","02002","Change in substantial holding","A1N","2025-04-28"
"2025042802940013","02003","Ceasing to be substantial holder","WAF","2025-04-28"
"2025042802940018","02003","Ceasing to be substantial holder","WMA","2025-04-28"
