"Filename","RepType Code","Description","Ticker","Date"
"2025041102935643","02003","Ceasing to be substantial holder","REY","2025-04-11"
"2025041102935645","02001","Becoming substantial holder","REY","2025-04-11"
"2025041102935651","02002","Change in substantial holding","CG1","2025-04-11"
"2025041102935653","02002","Change in substantial holding","MKL","2025-04-11"
"2025041102935654","02003","Ceasing to be substantial holder","CMB","2025-04-11"
"2025041102935666","02001","Becoming substantial holder","KAR","2025-04-11"
"2025041102935698","02001","Becoming substantial holder","DXC","2025-04-11"
"2025041102935699","02002","Change in substantial holding","EGH","2025-04-11"
"2025041102935702","02003","Ceasing to be substantial holder","REG","2025-04-11"
"2025041102935704","02001","Becoming substantial holder","BRG","2025-04-11"
"2025041102935707","02002","Change in substantial holding","CKF","2025-04-11"
"2025041102935710","02002","Change in substantial holding","CHC","2025-04-11"
"2025041102935712","02003","Ceasing to be substantial holder","PEC","2025-04-11"
"2025041102935713","02002","Change in substantial holding","DEG","2025-04-11"
"2025041102935715","02002","Change in substantial holding","MIN","2025-04-11"
"2025041102935727","02003","Ceasing to be substantial holder","NEC","2025-04-11"
"2025041102935729","02003","Ceasing to be substantial holder","PNV","2025-04-11"
"2025041102935730","02002","Change in substantial holding","ZIP","2025-04-11"
"2025041102935739","02001","Becoming substantial holder","AZY","2025-04-11"
"2025041102935742","02002","Change in substantial holding","DEG","2025-04-11"
"2025041102935747","02002","Change in substantial holding","RG8","2025-04-11"
"2025041102935758","02003","Ceasing to be substantial holder","TFL","2025-04-11"
"2025041102935760","02003","Ceasing to be substantial holder","BRG","2025-04-11"
"2025041102935765","02001","Becoming substantial holder","PEC","2025-04-11"
"2025041102935769","02001","Becoming substantial holder","RDY","2025-04-11"
"2025041102935775","02002","Change in substantial holding","GNM","2025-04-11"
"2025041102935797","02001","Becoming substantial holder","CTT","2025-04-11"
"2025041102935798","02002","Change in substantial holding","BTH","2025-04-11"
"2025041102935800","02002","Change in substantial holding","PNV","2025-04-11"
"2025041102935801","02001","Becoming substantial holder","OSX","2025-04-11"
"2025041102935802","02002","Change in substantial holding","OSX","2025-04-11"
"2025041102935803","02002","Change in substantial holding","OSX","2025-04-11"
"2025041102935805","02002","Change in substantial holding","IFL","2025-04-11"
"2025041102935806","02003","Ceasing to be substantial holder","CHC","2025-04-11"
"2025041102935807","02003","Ceasing to be substantial holder","CTT","2025-04-11"
"2025041402935822","02001","Becoming substantial holder","MI6","2025-04-14"
"2025041402935823","02001","Becoming substantial holder","MI6","2025-04-14"
"2025041402935877","02002","Change in substantial holding","CZR","2025-04-14"
"2025041402935883","02002","Change in substantial holding","MI6","2025-04-14"
"2025041402935975","03002","Top 20 shareholders","EBR","2025-04-14"
"2025041402936003","02003","Ceasing to be substantial holder","ROC","2025-04-14"
"2025041402936033","02001","Becoming substantial holder","MRL","2025-04-14"
"2025041402936161","02002","Change in substantial holding","ACL","2025-04-14"
"2025041402936166","02002","Change in substantial holding","FWD","2025-04-14"
"2025041402936188","02002","Change in substantial holding","EOL","2025-04-14"
"2025041402936194","02002","Change in substantial holding","BTH","2025-04-14"
"2025041402936219","02002","Change in substantial holding","SP3","2025-04-14"
"2025041402936240","02001","Becoming substantial holder","WJL","2025-04-14"
"2025041402936253","02003","Ceasing to be substantial holder","CHC","2025-04-14"
"2025041402936266","02003","Ceasing to be substantial holder","KAR","2025-04-14"
