"Filename","RepType Code","Description","Ticker","Date"
"2024120902892286","02001","Becoming substantial holder","GSN","2024-12-09"
"2024120902892296","02001","Becoming substantial holder","DXC","2024-12-09"
"2024120902892299","02003","Ceasing to be substantial holder","29M","2024-12-09"
"2024120902892301","02002","Change in substantial holding","RMY","2024-12-09"
"2024120902892302","02002","Change in substantial holding","SKS","2024-12-09"
"2024120902892304","02002","Change in substantial holding","SKS","2024-12-09"
"2024120902892330","02003","Ceasing to be substantial holder","YRL","2024-12-09"
"2024120902892331","02001","Becoming substantial holder","YRL","2024-12-09"
"2024120902892335","02001","Becoming substantial holder","SIQ","2024-12-09"
"2024120902892341","02002","Change in substantial holding","ANN","2024-12-09"
"2024120902892342","02002","Change in substantial holding","NES","2024-12-09"
"2024120902892358","02002","Change in substantial holding","VN8","2024-12-09"
"2024120902892365","02003","Ceasing to be substantial holder","SGF","2024-12-09"
"2024120902892372","03002","Top 20 shareholders","WHI","2024-12-09"
"2024120902892376","02001","Becoming substantial holder","IDX","2024-12-09"
"2024120902892379","02003","Ceasing to be substantial holder","PLS","2024-12-09"
"2024120902892385","02002","Change in substantial holding","VN8","2024-12-09"
"2024120902892399","02002","Change in substantial holding","EVR","2024-12-09"
"2024120902892442","02002","Change in substantial holding","GRL","2024-12-09"
"2024120902892446","02002","Change in substantial holding","VRS","2024-12-09"
"2024120902892453","02002","Change in substantial holding","KEY","2024-12-09"
"2024121002892474","02003","Ceasing to be substantial holder","PPT","2024-12-10"
"2024121002892499","02001","Becoming substantial holder","AEF","2024-12-10"
"2024121002892500","02001","Becoming substantial holder","BRG","2024-12-10"
"2024121002892586","02002","Change in substantial holding","5GN","2024-12-10"
"2024121002892648","02002","Change in substantial holding","PCG","2024-12-10"
"2024121002892673","02002","Change in substantial holding","NOV","2024-12-10"
"2024121002892692","02001","Becoming substantial holder","WHI","2024-12-10"
"2024121002892694","03002","Top 20 shareholders","SSL","2024-12-10"
"2024121002892699","02001","Becoming substantial holder","WHI","2024-12-10"
"2024121002892701","02002","Change in substantial holding","TCF","2024-12-10"
"2024121002892740","02001","Becoming substantial holder","FEG","2024-12-10"
"2024121002892757","02002","Change in substantial holding","HPI","2024-12-10"
"2024121002892759","02002","Change in substantial holding","PPE","2024-12-10"
"2024121002892765","02002","Change in substantial holding","SHA","2024-12-10"
"2024121002892772","02002","Change in substantial holding","ILA","2024-12-10"
"2024121002892776","02001","Becoming substantial holder","SRR","2024-12-10"
"2024121002892795","02002","Change in substantial holding","BUS","2024-12-10"
"2024121002892819","02002","Change in substantial holding","AM5","2024-12-10"
"2024121002892829","02003","Ceasing to be substantial holder","LOV","2024-12-10"
"2024121002892831","02001","Becoming substantial holder","WGX","2024-12-10"
"2024121002892832","02001","Becoming substantial holder","ZIP","2024-12-10"
"2024121002892900","02002","Change in substantial holding","BOE","2024-12-10"
"2024121002892902","02003","Ceasing to be substantial holder","CHC","2024-12-10"
"2024121002892917","02002","Change in substantial holding","KAL","2024-12-10"
"2024121002892919","02002","Change in substantial holding","ILU","2024-12-10"
"2024121002892925","02001","Becoming substantial holder","29M","2024-12-10"
"2024121002892936","02002","Change in substantial holding","WJL","2024-12-10"
"2024121002892937","02002","Change in substantial holding","ADA","2024-12-10"
"2024121002892943","02002","Change in substantial holding","PBH","2024-12-10"
