"Filename","RepType Code","Description","Ticker","Date"
"2024030402780837","02003","Ceasing to be substantial holder","SBM","2024-03-04"
"2024030402780839","02001","Becoming substantial holder","STM","2024-03-04"
"2024030402780852","02001","Becoming substantial holder","LLC","2024-03-04"
"2024030402780873","02002","Change in substantial holding","MAF","2024-03-04"
"2024030402780876","02003","Ceasing to be substantial holder","CUP","2024-03-04"
"2024030402780889","02002","Change in substantial holding","WPR","2024-03-04"
"2024030402780890","02002","Change in substantial holding","UCM","2024-03-04"
"2024030402780891","02003","Ceasing to be substantial holder","WPR","2024-03-04"
"2024030402780910","02002","Change in substantial holding","ACL","2024-03-04"
"2024030402780921","02002","Change in substantial holding","CTT","2024-03-04"
"2024030402780940","02002","Change in substantial holding","SSM","2024-03-04"
"2024030402780950","02003","Ceasing to be substantial holder","JAY","2024-03-04"
"2024030402780977","02002","Change in substantial holding","MME","2024-03-04"
"2024030402780978","02002","Change in substantial holding","CUP","2024-03-04"
"2024030402780981","02001","Becoming substantial holder","CUP","2024-03-04"
"2024030402780992","02002","Change in substantial holding","NAN","2024-03-04"
"2024030402780993","02003","Ceasing to be substantial holder","CHN","2024-03-04"
"2024030402780994","02003","Ceasing to be substantial holder","ALU","2024-03-04"
"2024030402780999","02001","Becoming substantial holder","PEN","2024-03-04"
"2024030402781001","02001","Becoming substantial holder","DOW","2024-03-04"
"2024030402781002","02002","Change in substantial holding","BOE","2024-03-04"
"2024030402781003","02002","Change in substantial holding","CHN","2024-03-04"
"2024030402781004","02001","Becoming substantial holder","CQE","2024-03-04"
"2024030402781005","02003","Ceasing to be substantial holder","CXO","2024-03-04"
"2024030402781006","02003","Ceasing to be substantial holder","DOW","2024-03-04"
"2024030402781007","02003","Ceasing to be substantial holder","IPL","2024-03-04"
"2024030402781008","02003","Ceasing to be substantial holder","IPH","2024-03-04"
"2024030402781009","02001","Becoming substantial holder","IRE","2024-03-04"
"2024030402781011","02002","Change in substantial holding","MAP","2024-03-04"
"2024030402781012","02002","Change in substantial holding","FBM","2024-03-04"
"2024030402781013","02001","Becoming substantial holder","ORA","2024-03-04"
"2024030402781014","02001","Becoming substantial holder","IGO","2024-03-04"
"2024030402781015","02002","Change in substantial holding","CSR","2024-03-04"
"2024030402781016","02002","Change in substantial holding","DOW","2024-03-04"
"2024030402781017","02002","Change in substantial holding","LLC","2024-03-04"
"2024030402781018","02003","Ceasing to be substantial holder","RWC","2024-03-04"
"2024030402781019","02003","Ceasing to be substantial holder","SYA","2024-03-04"
"2024030402781021","02003","Ceasing to be substantial holder","SIQ","2024-03-04"
"2024030402781022","02003","Ceasing to be substantial holder","WEB","2024-03-04"
"2024030402781023","02002","Change in substantial holding","WES","2024-03-04"
"2024030402781033","02001","Becoming substantial holder","ALC","2024-03-04"
"2024030502781052","02002","Change in substantial holding","WPR","2024-03-05"
"2024030502781084","02003","Ceasing to be substantial holder","CHN","2024-03-05"
"2024030502781098","02002","Change in substantial holding","ORR","2024-03-05"
"2024030502781105","02003","Ceasing to be substantial holder","BAP","2024-03-05"
"2024030502781136","02002","Change in substantial holding","BLD","2024-03-05"
"2024030502781165","02002","Change in substantial holding","BLD","2024-03-05"
"2024030502781168","02002","Change in substantial holding","YOW","2024-03-05"
"2024030502781265","02002","Change in substantial holding","HNG","2024-03-05"
"2024030502781266","02002","Change in substantial holding","AL8","2024-03-05"
