"Filename","RepType Code","Description","Ticker","Date"
"2024111102879251","02002","Change in substantial holding","TMK","2024-11-11"
"2024111102879252","02002","Change in substantial holding","TMK","2024-11-11"
"2024111102879254","02003","Ceasing to be substantial holder","EGG","2024-11-11"
"2024111102879274","02003","Ceasing to be substantial holder","AVG","2024-11-11"
"2024111102879277","02002","Change in substantial holding","A2M","2024-11-11"
"2024111102879278","02003","Ceasing to be substantial holder","DRR","2024-11-11"
"2024111102879282","02002","Change in substantial holding","DMP","2024-11-11"
"2024111102879283","02001","Becoming substantial holder","CAJ","2024-11-11"
"2024111102879284","02001","Becoming substantial holder","IPH","2024-11-11"
"2024111102879285","02001","Becoming substantial holder","DSK","2024-11-11"
"2024111102879286","02002","Change in substantial holding","PLS","2024-11-11"
"2024111102879287","02002","Change in substantial holding","RWC","2024-11-11"
"2024111102879288","02001","Becoming substantial holder","CPO","2024-11-11"
"2024111102879292","02001","Becoming substantial holder","SIQ","2024-11-11"
"2024111102879295","02002","Change in substantial holding","VEA","2024-11-11"
"2024111102879297","02002","Change in substantial holding","SIG","2024-11-11"
"2024111102879306","02001","Becoming substantial holder","CHC","2024-11-11"
"2024111102879320","02001","Becoming substantial holder","ZMM","2024-11-11"
"2024111102879321","02002","Change in substantial holding","NXD","2024-11-11"
"2024111102879322","02003","Ceasing to be substantial holder","GTN","2024-11-11"
"2024111102879324","02001","Becoming substantial holder","IMD","2024-11-11"
"2024111202879396","02002","Change in substantial holding","SBM","2024-11-12"
"2024111202879449","02001","Becoming substantial holder","CMM","2024-11-12"
"2024111202879476","02001","Becoming substantial holder","PRU","2024-11-12"
"2024111202879527","02002","Change in substantial holding","GDC","2024-11-12"
"2024111202879580","02002","Change in substantial holding","GDC","2024-11-12"
"2024111202879605","02002","Change in substantial holding","DME","2024-11-12"
"2024111202879609","02002","Change in substantial holding","MKG","2024-11-12"
"2024111202879616","02003","Ceasing to be substantial holder","WAF","2024-11-12"
"2024111202879620","02002","Change in substantial holding","OBL","2024-11-12"
"2024111202879627","02002","Change in substantial holding","UOS","2024-11-12"
"2024111202879651","02003","Ceasing to be substantial holder","ECF","2024-11-12"
"2024111202879654","02002","Change in substantial holding","SB2","2024-11-12"
"2024111202879666","02003","Ceasing to be substantial holder","BBN","2024-11-12"
"2024111202879671","02001","Becoming substantial holder","ZMM","2024-11-12"
"2024111202879683","02003","Ceasing to be substantial holder","CHC","2024-11-12"
"2024111202879685","02003","Ceasing to be substantial holder","BBN","2024-11-12"
"2024111202879687","02001","Becoming substantial holder","CHC","2024-11-12"
"2024111202879703","02003","Ceasing to be substantial holder","IDX","2024-11-12"
"2024111202879710","02002","Change in substantial holding","PRU","2024-11-12"
"2024111202879711","02002","Change in substantial holding","SIG","2024-11-12"
"2024111202879714","02003","Ceasing to be substantial holder","SIQ","2024-11-12"
"2024111202879725","02002","Change in substantial holding","DMP","2024-11-12"
"2024111202879733","03002","Top 20 shareholders","SCP","2024-11-12"
"2024111202879747","02001","Becoming substantial holder","IDX","2024-11-12"
"2024111202879748","02001","Becoming substantial holder","KOV","2024-11-12"
"2024111202879754","02001","Becoming substantial holder","PPM","2024-11-12"
"2024111202879759","02001","Becoming substantial holder","TTT","2024-11-12"
"2024111202879761","02002","Change in substantial holding","YRL","2024-11-12"
"2024111202879762","02002","Change in substantial holding","IAM","2024-11-12"
