"Filename","RepType Code","Description","Ticker","Date"
"2024040802793166","02003","Ceasing to be substantial holder","WSR","2024-04-08"
"2024040802793169","02002","Change in substantial holding","ODY","2024-04-08"
"2024040802793184","03002","Top 20 shareholders","FDV","2024-04-08"
"2024040802793195","02003","Ceasing to be substantial holder","RGS","2024-04-08"
"2024040802793220","02003","Ceasing to be substantial holder","RGS","2024-04-08"
"2024040802793221","02003","Ceasing to be substantial holder","RGS","2024-04-08"
"2024040802793224","02001","Becoming substantial holder","QOR","2024-04-08"
"2024040802793226","02001","Becoming substantial holder","CNJ","2024-04-08"
"2024040802793230","02002","Change in substantial holding","IFM","2024-04-08"
"2024040802793235","02003","Ceasing to be substantial holder","COE","2024-04-08"
"2024040802793239","02002","Change in substantial holding","A1M","2024-04-08"
"2024040802793243","02002","Change in substantial holding","COE","2024-04-08"
"2024040802793254","02002","Change in substantial holding","BGD","2024-04-08"
"2024040802793264","02002","Change in substantial holding","PXX","2024-04-08"
"2024040802793265","02002","Change in substantial holding","SPZ","2024-04-08"
"2024040802793268","02002","Change in substantial holding","PAC","2024-04-08"
"2024040802793300","02003","Ceasing to be substantial holder","IMD","2024-04-08"
"2024040802793324","02001","Becoming substantial holder","MRM","2024-04-08"
"2024040802793334","02002","Change in substantial holding","AMN","2024-04-08"
"2024040802793335","02002","Change in substantial holding","MRM","2024-04-08"
"2024040802793337","02002","Change in substantial holding","MRM","2024-04-08"
"2024040802793339","02003","Ceasing to be substantial holder","ST1","2024-04-08"
"2024040802793340","02003","Ceasing to be substantial holder","ST1","2024-04-08"
"2024040802793341","02003","Ceasing to be substantial holder","ST1","2024-04-08"
"2024040802793342","02002","Change in substantial holding","LCL","2024-04-08"
"2024040802793345","02002","Change in substantial holding","ST1","2024-04-08"
"2024040802793346","02002","Change in substantial holding","ST1","2024-04-08"
"2024040802793357","02002","Change in substantial holding","IGO","2024-04-08"
"2024040802793359","02002","Change in substantial holding","LTR","2024-04-08"
"2024040802793360","02003","Ceasing to be substantial holder","RWC","2024-04-08"
"2024040902793369","03002","Top 20 shareholders","BGP","2024-04-09"
"2024040902793372","02001","Becoming substantial holder","WBT","2024-04-09"
"2024040902793373","02001","Becoming substantial holder","CUV","2024-04-09"
"2024040902793437","03002","Top 20 shareholders","MLX","2024-04-09"
"2024040902793442","02002","Change in substantial holding","ORR","2024-04-09"
"2024040902793480","03002","Top 20 shareholders","IMR","2024-04-09"
"2024040902793508","02002","Change in substantial holding","AEE","2024-04-09"
"2024040902793515","02003","Ceasing to be substantial holder","A2B","2024-04-09"
"2024040902793536","02002","Change in substantial holding","MSB","2024-04-09"
"2024040902793600","02001","Becoming substantial holder","OBM","2024-04-09"
"2024040902793613","02002","Change in substantial holding","CTT","2024-04-09"
"2024040902793620","02002","Change in substantial holding","BTR","2024-04-09"
"2024040902793626","02001","Becoming substantial holder","BB1","2024-04-09"
"2024040902793627","02001","Becoming substantial holder","BB1","2024-04-09"
"2024040902793630","02001","Becoming substantial holder","BB1","2024-04-09"
"2024040902793631","02001","Becoming substantial holder","BB1","2024-04-09"
"2024040902793638","02002","Change in substantial holding","IXU","2024-04-09"
"2024040902793687","02002","Change in substantial holding","KSC","2024-04-09"
"2024040902793689","03002","Top 20 shareholders","EVO","2024-04-09"
"2024040902793724","02001","Becoming substantial holder","KAR","2024-04-09"
