"Filename","RepType Code","Description","Ticker","Date"
"2024103102875325","03002","Top 20 shareholders","FCT","2024-10-31"
"2024103102875340","02002","Change in substantial holding","PRX","2024-10-31"
"2024103102875346","02003","Ceasing to be substantial holder","MTO","2024-10-31"
"2024103102875348","03002","Top 20 shareholders","ART","2024-10-31"
"2024103102875448","02003","Ceasing to be substantial holder","IMD","2024-10-31"
"2024103102875455","03002","Top 20 shareholders","OJC","2024-10-31"
"2024103102875464","03002","Top 20 shareholders","BRN","2024-10-31"
"2024103102875488","03002","Top 20 shareholders","GTH","2024-10-31"
"2024103102875501","03002","Top 20 shareholders","MRL","2024-10-31"
"2024103102875517","02002","Change in substantial holding","ZMI","2024-10-31"
"2024103102875520","02002","Change in substantial holding","SHV","2024-10-31"
"2024103102875524","02002","Change in substantial holding","WA1","2024-10-31"
"2024103102875526","02002","Change in substantial holding","MAH","2024-10-31"
"2024103102875528","02003","Ceasing to be substantial holder","PLS","2024-10-31"
"2024103102875530","02003","Ceasing to be substantial holder","GLN","2024-10-31"
"2024103102875538","02002","Change in substantial holding","VAU","2024-10-31"
"2024103102875544","03002","Top 20 shareholders","CRS","2024-10-31"
"2024103102875564","03002","Top 20 shareholders","BEZ","2024-10-31"
"2024103102875570","03002","Top 20 shareholders","VAR","2024-10-31"
"2024103102875574","03002","Top 20 shareholders","BCB","2024-10-31"
"2024103102875584","03002","Top 20 shareholders","TAT","2024-10-31"
"2024103102875604","02003","Ceasing to be substantial holder","CHN","2024-10-31"
"2024103102875607","02003","Ceasing to be substantial holder","IPH","2024-10-31"
"2024103102875645","02003","Ceasing to be substantial holder","NWH","2024-10-31"
"2024103102875661","02002","Change in substantial holding","SI6","2024-10-31"
"2024103102875662","03002","Top 20 shareholders","SPQ","2024-10-31"
"2024103102875669","02002","Change in substantial holding","ROG","2024-10-31"
"2024103102875691","03002","Top 20 shareholders","RGL","2024-10-31"
"2024103102875721","02002","Change in substantial holding","HAR","2024-10-31"
"2024103102875735","03002","Top 20 shareholders","AO1","2024-10-31"
"2024110102875775","02002","Change in substantial holding","PLS","2024-11-01"
"2024110102875776","02002","Change in substantial holding","LOT","2024-11-01"
"2024110102875780","02002","Change in substantial holding","BOE","2024-11-01"
"2024110102875781","02003","Ceasing to be substantial holder","PDN","2024-11-01"
"2024110102875783","02002","Change in substantial holding","INA","2024-11-01"
"2024110102875812","02002","Change in substantial holding","EBG","2024-11-01"
"2024110102875887","02002","Change in substantial holding","E33","2024-11-01"
"2024110102875890","02002","Change in substantial holding","E33","2024-11-01"
"2024110102875898","02002","Change in substantial holding","KME","2024-11-01"
"2024110102875919","02002","Change in substantial holding","HPI","2024-11-01"
"2024110102875921","02002","Change in substantial holding","EXT","2024-11-01"
"2024110102875923","02002","Change in substantial holding","CMM","2024-11-01"
"2024110102875930","02003","Ceasing to be substantial holder","SDR","2024-11-01"
"2024110102875999","02003","Ceasing to be substantial holder","ELT","2024-11-01"
"2024110102876004","02002","Change in substantial holding","VTX","2024-11-01"
"2024110102876025","02002","Change in substantial holding","OVT","2024-11-01"
"2024110102876040","02002","Change in substantial holding","DUG","2024-11-01"
"2024110102876042","02002","Change in substantial holding","RSG","2024-11-01"
"2024110102876058","03002","Top 20 shareholders","PFT","2024-11-01"
"2024110102876066","02002","Change in substantial holding","PRX","2024-11-01"
