"Filename","RepType Code","Description","Ticker","Date"
"2025031202924029","02002","Change in substantial holding","ANG","2025-03-12"
"2025031202924032","02002","Change in substantial holding","BKT","2025-03-12"
"2025031202924036","02001","Becoming substantial holder","DCL","2025-03-12"
"2025031202924062","02001","Becoming substantial holder","NIC","2025-03-12"
"2025031202924074","02002","Change in substantial holding","MYX","2025-03-12"
"2025031202924080","02002","Change in substantial holding","FRM","2025-03-12"
"2025031302924130","02002","Change in substantial holding","PNV","2025-03-13"
"2025031302924137","02002","Change in substantial holding","MIN","2025-03-13"
"2025031302924148","02002","Change in substantial holding","NWH","2025-03-13"
"2025031302924149","02001","Becoming substantial holder","MIN","2025-03-13"
"2025031302924150","02002","Change in substantial holding","PNR","2025-03-13"
"2025031302924151","02001","Becoming substantial holder","RIO","2025-03-13"
"2025031302924158","02001","Becoming substantial holder","BEN","2025-03-13"
"2025031302924213","03002","Top 20 shareholders","AVR","2025-03-13"
"2025031302924227","02001","Becoming substantial holder","DCL","2025-03-13"
"2025031302924324","02001","Becoming substantial holder","CWY","2025-03-13"
"2025031302924350","02003","Ceasing to be substantial holder","AMX","2025-03-13"
"2025031302924359","02002","Change in substantial holding","SVM","2025-03-13"
"2025031302924381","02001","Becoming substantial holder","LDR","2025-03-13"
"2025031302924438","02003","Ceasing to be substantial holder","NWC","2025-03-13"
"2025031302924466","02002","Change in substantial holding","CR1","2025-03-13"
"2025031302924477","02002","Change in substantial holding","MKL","2025-03-13"
"2025031302924486","02001","Becoming substantial holder","TTI","2025-03-13"
"2025031302924487","02002","Change in substantial holding","TRJ","2025-03-13"
"2025031302924509","02002","Change in substantial holding","UNI","2025-03-13"
"2025031302924513","02002","Change in substantial holding","SWF","2025-03-13"
"2025031302924518","02001","Becoming substantial holder","ACL","2025-03-13"
"2025031302924531","02002","Change in substantial holding","MIN","2025-03-13"
"2025031302924532","02002","Change in substantial holding","KAR","2025-03-13"
"2025031302924533","02001","Becoming substantial holder","BOE","2025-03-13"
"2025031302924535","03002","Top 20 shareholders","BOA","2025-03-13"
"2025031302924537","02002","Change in substantial holding","APA","2025-03-13"
"2025031302924538","02003","Ceasing to be substantial holder","AD8","2025-03-13"
"2025031302924542","02002","Change in substantial holding","FLT","2025-03-13"
"2025031302924543","02003","Ceasing to be substantial holder","WAF","2025-03-13"
"2025031302924546","02002","Change in substantial holding","MIN","2025-03-13"
"2025031302924547","02002","Change in substantial holding","BMR","2025-03-13"
"2025031302924551","02001","Becoming substantial holder","MND","2025-03-13"
"2025031302924555","02002","Change in substantial holding","VEA","2025-03-13"
"2025031302924558","02002","Change in substantial holding","OIL","2025-03-13"
"2025031302924565","02002","Change in substantial holding","HUM","2025-03-13"
"2025031302924589","02002","Change in substantial holding","TFL","2025-03-13"
"2025031302924596","02002","Change in substantial holding","NXM","2025-03-13"
"2025031302924601","02001","Becoming substantial holder","WAF","2025-03-13"
"2025031302924602","02002","Change in substantial holding","WJL","2025-03-13"
"2025031302924603","02002","Change in substantial holding","WEB","2025-03-13"
"2025031302924612","02002","Change in substantial holding","NSR","2025-03-13"
"2025031302924649","02002","Change in substantial holding","DRO","2025-03-13"
"2025031302924650","02001","Becoming substantial holder","BKT","2025-03-13"
"2025031302924667","02001","Becoming substantial holder","ATH","2025-03-13"
