"Filename","RepType Code","Description","Ticker","Date"
"2024031302784184","02002","Change in substantial holding","IPD","2024-03-13"
"2024031302784215","02001","Becoming substantial holder","MRQ","2024-03-13"
"2024031302784290","02002","Change in substantial holding","CHL","2024-03-13"
"2024031302784301","02003","Ceasing to be substantial holder","SPR","2024-03-13"
"2024031302784340","03002","Top 20 shareholders","LMS","2024-03-13"
"2024031302784372","02002","Change in substantial holding","IPX","2024-03-13"
"2024031302784388","02002","Change in substantial holding","ELT","2024-03-13"
"2024031302784390","02002","Change in substantial holding","AHC","2024-03-13"
"2024031302784399","02003","Ceasing to be substantial holder","IEL","2024-03-13"
"2024031302784402","02002","Change in substantial holding","MAG","2024-03-13"
"2024031302784404","02002","Change in substantial holding","MAG","2024-03-13"
"2024031302784419","02002","Change in substantial holding","MAG","2024-03-13"
"2024031302784434","02003","Ceasing to be substantial holder","SPR","2024-03-13"
"2024031302784456","02002","Change in substantial holding","ICU","2024-03-13"
"2024031302784458","02001","Becoming substantial holder","CEH","2024-03-13"
"2024031302784462","02002","Change in substantial holding","CEH","2024-03-13"
"2024031302784468","02002","Change in substantial holding","CEH","2024-03-13"
"2024031302784481","02003","Ceasing to be substantial holder","CEH","2024-03-13"
"2024031302784486","02003","Ceasing to be substantial holder","CAR","2024-03-13"
"2024031302784529","02002","Change in substantial holding","IGO","2024-03-13"
"2024031302784533","02003","Ceasing to be substantial holder","ACL","2024-03-13"
"2024031302784534","02003","Ceasing to be substantial holder","IMD","2024-03-13"
"2024031302784537","02002","Change in substantial holding","DUG","2024-03-13"
"2024031302784542","02003","Ceasing to be substantial holder","COE","2024-03-13"
"2024031302784543","02001","Becoming substantial holder","IDT","2024-03-13"
"2024031302784565","02002","Change in substantial holding","GTN","2024-03-13"
"2024031302784572","02003","Ceasing to be substantial holder","ALQ","2024-03-13"
"2024031302784573","02002","Change in substantial holding","BOE","2024-03-13"
"2024031302784574","02003","Ceasing to be substantial holder","IPL","2024-03-13"
"2024031302784575","02002","Change in substantial holding","MP1","2024-03-13"
"2024031302784576","02003","Ceasing to be substantial holder","QAN","2024-03-13"
"2024031302784577","02001","Becoming substantial holder","TPW","2024-03-13"
"2024031302784580","02001","Becoming substantial holder","VNT","2024-03-13"
"2024031302784581","02001","Becoming substantial holder","ZIP","2024-03-13"
"2024031402784613","02003","Ceasing to be substantial holder","IMD","2024-03-14"
"2024031402784617","03002","Top 20 shareholders","WAF","2024-03-14"
"2024031402784632","02002","Change in substantial holding","NPR","2024-03-14"
"2024031402784639","02002","Change in substantial holding","IMC","2024-03-14"
"2024031402784642","02002","Change in substantial holding","SDR","2024-03-14"
"2024031402784668","02001","Becoming substantial holder","NVQ","2024-03-14"
"2024031402784688","03002","Top 20 shareholders","SRK","2024-03-14"
"2024031402784731","02003","Ceasing to be substantial holder","EPY","2024-03-14"
"2024031402784809","02002","Change in substantial holding","EGH","2024-03-14"
"2024031402784818","02001","Becoming substantial holder","A2M","2024-03-14"
"2024031402784859","02002","Change in substantial holding","TOT","2024-03-14"
"2024031402784878","02001","Becoming substantial holder","LNR","2024-03-14"
"2024031402784893","02001","Becoming substantial holder","PDN","2024-03-14"
"2024031402784922","02002","Change in substantial holding","ROC","2024-03-14"
"2024031402784940","02002","Change in substantial holding","SRX","2024-03-14"
"2024031402784976","03002","Top 20 shareholders","WTM","2024-03-14"
