"Filename","RepType Code","Description","Ticker","Date"
"2024020602769979","02003","Ceasing to be substantial holder","ING","2024-02-06"
"2024020602769991","02002","Change in substantial holding","ADV","2024-02-06"
"2024020602770023","02002","Change in substantial holding","CMO","2024-02-06"
"2024020602770031","02001","Becoming substantial holder","HAS","2024-02-06"
"2024020702770046","02002","Change in substantial holding","LGM","2024-02-07"
"2024020702770062","02001","Becoming substantial holder","WHC","2024-02-07"
"2024020702770072","02002","Change in substantial holding","LOT","2024-02-07"
"2024020702770083","02001","Becoming substantial holder","QAN","2024-02-07"
"2024020702770150","02002","Change in substantial holding","NGS","2024-02-07"
"2024020702770224","02003","Ceasing to be substantial holder","BIO","2024-02-07"
"2024020702770257","02002","Change in substantial holding","ANO","2024-02-07"
"2024020702770258","02002","Change in substantial holding","ACL","2024-02-07"
"2024020702770290","03002","Top 20 shareholders","NC6","2024-02-07"
"2024020702770295","02002","Change in substantial holding","MKR","2024-02-07"
"2024020702770296","02002","Change in substantial holding","MKR","2024-02-07"
"2024020702770330","02002","Change in substantial holding","SPR","2024-02-07"
"2024020702770333","02002","Change in substantial holding","SPR","2024-02-07"
"2024020702770339","02002","Change in substantial holding","SNT","2024-02-07"
"2024020702770347","02002","Change in substantial holding","KOB","2024-02-07"
"2024020702770366","02002","Change in substantial holding","CTD","2024-02-07"
"2024020702770387","02003","Ceasing to be substantial holder","IPL","2024-02-07"
"2024020702770388","02003","Ceasing to be substantial holder","ORA","2024-02-07"
"2024020702770390","02003","Ceasing to be substantial holder","ALU","2024-02-07"
"2024020702770391","02001","Becoming substantial holder","CGC","2024-02-07"
"2024020702770392","02001","Becoming substantial holder","HAS","2024-02-07"
"2024020702770393","02003","Ceasing to be substantial holder","ING","2024-02-07"
"2024020702770394","02003","Ceasing to be substantial holder","WGX","2024-02-07"
"2024020702770402","02003","Ceasing to be substantial holder","29M","2024-02-07"
"2024020702770407","02003","Ceasing to be substantial holder","CGC","2024-02-07"
"2024020702770409","02003","Ceasing to be substantial holder","HLS","2024-02-07"
"2024020702770410","02003","Ceasing to be substantial holder","DTL","2024-02-07"
"2024020702770411","02001","Becoming substantial holder","WGX","2024-02-07"
"2024020702770413","02001","Becoming substantial holder","CAY","2024-02-07"
"2024020802770452","02001","Becoming substantial holder","WGX","2024-02-08"
"2024020802770453","02002","Change in substantial holding","HAS","2024-02-08"
"2024020802770516","02001","Becoming substantial holder","AMP","2024-02-08"
"2024020802770668","02002","Change in substantial holding","LOT","2024-02-08"
"2024020802770685","02002","Change in substantial holding","HCH","2024-02-08"
"2024020802770704","02001","Becoming substantial holder","OPL","2024-02-08"
"2024020802770715","02002","Change in substantial holding","WDS","2024-02-08"
"2024020802770754","02002","Change in substantial holding","SPR","2024-02-08"
"2024020802770756","02003","Ceasing to be substantial holder","PFP","2024-02-08"
"2024020802770762","02002","Change in substantial holding","ACL","2024-02-08"
"2024020802770769","02002","Change in substantial holding","BAP","2024-02-08"
"2024020802770780","02002","Change in substantial holding","LYC","2024-02-08"
"2024020802770784","02002","Change in substantial holding","BVS","2024-02-08"
"2024020802770797","02002","Change in substantial holding","GRE","2024-02-08"
"2024020802770805","02003","Ceasing to be substantial holder","RWC","2024-02-08"
"2024020802770807","02001","Becoming substantial holder","CDX","2024-02-08"
"2024020802770810","02003","Ceasing to be substantial holder","CGC","2024-02-08"
