"Filename","RepType Code","Description","Ticker","Date"
"2024092602857463","02003","Ceasing to be substantial holder","TWE","2024-09-26"
"2024092602857464","02001","Becoming substantial holder","WAF","2024-09-26"
"2024092602857465","03002","Top 20 shareholders","ZIM","2024-09-26"
"2024092602857467","03002","Top 20 shareholders","LDR","2024-09-26"
"2024092602857481","02003","Ceasing to be substantial holder","WTC","2024-09-26"
"2024092602857485","02001","Becoming substantial holder","BEN","2024-09-26"
"2024092602857488","03002","Top 20 shareholders","CPU","2024-09-26"
"2024092602857499","03002","Top 20 shareholders","NOV","2024-09-26"
"2024092602857555","03002","Top 20 shareholders","ZIP","2024-09-26"
"2024092602857556","02002","Change in substantial holding","QML","2024-09-26"
"2024092602857571","02001","Becoming substantial holder","MTH","2024-09-26"
"2024092602857573","03002","Top 20 shareholders","LCE","2024-09-26"
"2024092602857578","02003","Ceasing to be substantial holder","MBH","2024-09-26"
"2024092602857588","03002","Top 20 shareholders","CMW","2024-09-26"
"2024092602857597","03002","Top 20 shareholders","G11","2024-09-26"
"2024092602857600","03002","Top 20 shareholders","OMA","2024-09-26"
"2024092602857614","03002","Top 20 shareholders","TOU","2024-09-26"
"2024092602857619","02001","Becoming substantial holder","PNT","2024-09-26"
"2024092602857621","03002","Top 20 shareholders","GGX","2024-09-26"
"2024092602857625","03002","Top 20 shareholders","ILT","2024-09-26"
"2024092602857627","03002","Top 20 shareholders","IPC","2024-09-26"
"2024092602857638","02002","Change in substantial holding","WGX","2024-09-26"
"2024092602857643","03002","Top 20 shareholders","RHY","2024-09-26"
"2024092602857644","03002","Top 20 shareholders","MEI","2024-09-26"
"2024092602857700","03002","Top 20 shareholders","OBM","2024-09-26"
"2024092602857736","03002","Top 20 shareholders","PGO","2024-09-26"
"2024092602857741","02001","Becoming substantial holder","A2M","2024-09-26"
"2024092602857746","02001","Becoming substantial holder","FFF","2024-09-26"
"2024092602857760","03002","Top 20 shareholders","PHO","2024-09-26"
"2024092602857774","02001","Becoming substantial holder","FTL","2024-09-26"
"2024092602857788","03002","Top 20 shareholders","IPB","2024-09-26"
"2024092602857798","03002","Top 20 shareholders","LNR","2024-09-26"
"2024092602857799","03002","Top 20 shareholders","EQX","2024-09-26"
"2024092602857805","03002","Top 20 shareholders","ADG","2024-09-26"
"2024092602857807","03002","Top 20 shareholders","DNA","2024-09-26"
"2024092602857812","03002","Top 20 shareholders","CTN","2024-09-26"
"2024092602857817","03002","Top 20 shareholders","ADC","2024-09-26"
"2024092602857819","02002","Change in substantial holding","PRO","2024-09-26"
"2024092602857829","03002","Top 20 shareholders","CUL","2024-09-26"
"2024092602857833","03002","Top 20 shareholders","MRQ","2024-09-26"
"2024092602857835","03002","Top 20 shareholders","NWM","2024-09-26"
"2024092602857843","03002","Top 20 shareholders","ATH","2024-09-26"
"2024092602857845","02001","Becoming substantial holder","MDI","2024-09-26"
"2024092602857861","03002","Top 20 shareholders","AXL","2024-09-26"
"2024092602857866","03002","Top 20 shareholders","KGN","2024-09-26"
"2024092602857877","02002","Change in substantial holding","ACW","2024-09-26"
"2024092602857880","03002","Top 20 shareholders","ASN","2024-09-26"
"2024092602857886","03002","Top 20 shareholders","BPM","2024-09-26"
"2024092602857889","03002","Top 20 shareholders","ASQ","2024-09-26"
"2024092602857899","02002","Change in substantial holding","ILT","2024-09-26"
