Info Date,Ticker,Company,Sector,Market Cap,Shares Outstanding,Open,Close,Volume,Change (%)
2025-04-15,FFG,Fatfish Group Ltd,Financial Services,10875011.13,1553573019.0,0.007,0.007,0.0,0.0
2025-04-15,OLH,Oldfields Holdings Ltd,Capital Goods,10866015.63,213059130.0,0.051,0.051,0.0,0.0
2025-04-15,WMG,Western Mines Group Ltd,Materials,10842401.28,90353344.0,0.115,0.12,46342.0,4.35
2025-04-15,MGL,Magontec Ltd,Materials,10822746.94,56961826.0,0.19,0.19,0.0,0.0
2025-04-15,PEC,Perpetual Resources Ltd,Materials,10821966.9,832458992.0,0.013,0.013,100000.0,0.0
2025-04-15,OVT,Ovanti Ltd,Media & Entertainment,10806191.42,2701547854.0,0.004,0.004,1921214.0,0.0
2025-04-15,CR1,Constellation Resources Ltd,Materials,10716668.25,63039225.0,0.17,0.17,0.0,0.0
2025-04-15,KRR,King River Resources Ltd,Materials,10697545.26,1528220751.0,0.007,0.007,385075.0,0.0
2025-04-15,WOA,Wide Open Agriculture Ltd,"Food, Beverage & Tobacco",10673732.2,533686610.0,0.024,0.02,2962936.0,-16.67
2025-04-15,RGT,Argent Biopharma Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",10669008.42,59272269.0,0.175,0.18,15191.0,2.86
2025-04-15,ZNO,ZOONO Group Ltd,Materials,10663014.45,355433815.0,0.027,0.03,164030.0,11.11
2025-04-15,NAE,New Age Exploration Ltd,Energy,10637595.64,2659398910.0,0.004,0.004,2169400.0,0.0
2025-04-15,MEM,Memphasys Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",10626088.6,1771014766.0,0.007,0.006,5849421.0,-14.29
2025-04-15,N1H,N1 Holdings Ltd,Financial Services,10566668.76,88055573.0,0.12,0.12,0.0,0.0
2025-04-15,EQN,Equinox Resources Ltd,Materials,10527250.26,123850003.0,0.085,0.085,0.0,0.0
2025-04-15,AFL,Af Legal Group Ltd,Commercial & Professional Services,10499408.46,91299204.0,0.115,0.115,0.0,0.0
2025-04-15,TEG,Triangle Energy (Global) Ltd,Energy,10446170.13,2089234027.0,0.005,0.005,44070046.0,0.0
2025-04-15,KNI,Kuniko Ltd,Materials,10430912.16,86924268.0,0.13,0.12,28750.0,-7.69
2025-04-15,CP8,Canadian Phosphate Ltd,Materials,10429857.92,306760527.0,0.033,0.034,2351282.0,3.03
2025-04-15,HGL,Hudson Investment Group Ltd,Real Estate Management & Development,10387988.62,59359935.0,0.175,0.175,0.0,0.0
2025-04-15,SKK,Stakk Ltd,Telecommunication Services,10375398.4,2075079680.0,0.005,0.005,25000.0,0.0
