File Name,codes
20250526/02949998.txt,['14100']
20250526/02949999.txt,['14100']
20250526/02950000.txt,"['03026', '03001', '03002', '03003', '03011', '03012', '03020']"
20250526/02950001.txt,"['10006', '03003', '10001', '10002', '10003']"
20250526/02950002.txt,"['03026', '03003']"
20250526/02950003.txt,"['10006', '10001', '10002', '10003']"
20250526/02950004.txt,"['03026', '06009', '12008']"
20250526/02950005.txt,['12008']
20250526/02950006.txt,['02009']
20250526/02950007.txt,['02003']
20250526/02950008.txt,['02001']
20250526/02950009.txt,['02001']
20250526/02950010.txt,['06010']
20250526/02950011.txt,['02006']
20250526/02950012.txt,['02006']
20250526/02950013.txt,['02006']
20250526/02950014.txt,['02006']
20250526/02950015.txt,['02006']
20250526/02950016.txt,"['03026', '11001']"
20250526/02950017.txt,['06012']
20250526/02950018.txt,['06027']
20250526/02950019.txt,['11001']
20250526/02950020.txt,"['11001', '12008']"
20250526/02950021.txt,['02009']
20250526/02950022.txt,['11001']
20250526/02950023.txt,['06008']
20250526/02950024.txt,['11001']
20250526/02950025.txt,"['07001', '11001']"
20250526/02950026.txt,['11001']
20250526/02950027.txt,['11001']
20250526/02950028.txt,"['06005', '08004', '08007']"
20250526/02950029.txt,"['08004', '16002']"
20250526/02950030.txt,"['06005', '06007']"
20250526/02950031.txt,"['06005', '06007']"
20250526/02950032.txt,['11001']
20250526/02950033.txt,['06008']
20250526/02950034.txt,['06013']
20250526/02950035.txt,['02009']
20250526/02950036.txt,['11001']
20250526/02950037.txt,['11001']
20250526/02950038.txt,['03026']
20250526/02950039.txt,['06012']
20250526/02950040.txt,['16002']
20250526/02950041.txt,['03014']
20250526/02950042.txt,['06018']
20250526/02950043.txt,['06012']
20250526/02950044.txt,['06027']
20250526/02950045.txt,['06012']
20250526/02950046.txt,['06027']
20250526/02950047.txt,['06027']
20250526/02950048.txt,['06012']
20250526/02950049.txt,['06012']
20250526/02950050.txt,['06012']
20250526/02950051.txt,['03016']
20250526/02950052.txt,['06012']
20250526/02950053.txt,['06012']
20250526/02950054.txt,['12018']
20250526/02950055.txt,['03016']
20250526/02950056.txt,['06012']
20250526/02950057.txt,['02010']
20250526/02950058.txt,['06012']
20250526/02950059.txt,['06012']
20250526/02950060.txt,['02008']
20250526/02950061.txt,['06011']
20250526/02950062.txt,['11001']
20250526/02950063.txt,['11001']
20250526/02950064.txt,['11001']
20250526/02950065.txt,['06012']
20250526/02950066.txt,['06012']
20250526/02950067.txt,"['06008', '06010']"
20250526/02950068.txt,['11001']
20250526/02950069.txt,['06012']
20250526/02950070.txt,['03014']
20250526/02950071.txt,['06012']
20250526/02950072.txt,"['07002', '11001']"
20250526/02950073.txt,['03016']
20250526/02950074.txt,['07001']
20250526/02950075.txt,"['10006', '10001', '10002', '10003']"
20250526/02950076.txt,['11001']
20250526/02950077.txt,"['03004', '03009', '03010', '03015', '03019', '10001']"
20250526/02950078.txt,['11001']
20250526/02950079.txt,"['14014', '03004']"
20250526/02950080.txt,['11001']
20250526/02950081.txt,['06012']
20250526/02950082.txt,['02002']
20250526/02950083.txt,"['07001', '11001']"
20250526/02950084.txt,['11001']
20250526/02950085.txt,"['03026', '03004']"
20250526/02950086.txt,"['08006', '12001']"
20250526/02950087.txt,['11001']
20250526/02950088.txt,['06012']
20250526/02950089.txt,['06012']
20250526/02950090.txt,['06013']
20250526/02950091.txt,['06012']
20250526/02950092.txt,['06027']
20250526/02950093.txt,['06012']
20250526/02950094.txt,"['06003', '09014']"
20250526/02950095.txt,['06013']
20250526/02950096.txt,"['11001', '03022']"
20250526/02950097.txt,['06017']
20250526/02950098.txt,['06013']
20250526/02950099.txt,['11001']
20250526/02950100.txt,['06012']
20250526/02950101.txt,"['03026', '14014']"
20250526/02950102.txt,['06021']
20250526/02950103.txt,['06027']
20250526/02950104.txt,['06012']
20250526/02950105.txt,"['12017', '06003', '09014']"
20250526/02950106.txt,['06013']
20250526/02950107.txt,['11001']
20250526/02950108.txt,['06013']
20250526/02950109.txt,['03026']
20250526/02950110.txt,['11001']
20250526/02950111.txt,['06012']
20250526/02950112.txt,"['10006', '10001', '10002']"
20250526/02950113.txt,['03026']
20250526/02950114.txt,['03026']
20250526/02950115.txt,['06012']
20250526/02950116.txt,['03026']
20250526/02950117.txt,['03026']
20250526/02950118.txt,"['11001', '12008']"
20250526/02950119.txt,['03016']
20250526/02950120.txt,['11001']
20250526/02950121.txt,['06012']
20250526/02950122.txt,['11001']
20250526/02950123.txt,['03016']
20250526/02950124.txt,['06009']
20250526/02950125.txt,['09007']
