Ticker,Company,Comments
BRN,BRAINCHIP HOLDINGS LTD,91
MSB,MESOBLAST LIMITED,77
IVZ,INVICTUS ENERGY LTD,76
LRV,LARVOTTO RESOURCES LIMITED,75
IMU,IMUGENE LIMITED,74
ASN,ANSON RESOURCES LIMITED,70
PLS,PILBARA MINERALS LIMITED,69
BOT,BOTANIX PHARMACEUTICALS LTD,58
ARU,ARAFURA RARE EARTHS LTD,56
WDS,WOODSIDE ENERGY GROUP LTD,48
WA1,WA1 RESOURCES LTD,46
GLN,GALAN LITHIUM LIMITED,45
