ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
TEA,2025-05-08,737221440,0.0,2.65,2.74,2.63,2.7,2.7,191701,2.625,2.382,3.295,1.395,150977.0,266872.0,238174.0
TEA,2025-05-09,737221440,0.0,2.7,2.71,2.65,2.65,2.65,34014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VBC,2025-05-05,21879976,0.325,0.07,0.073,0.07,0.071,0.071,74914,0.088,0.115,0.165,0.071,11789.1,72497.3,86206.6
VBC,2025-05-06,21879976,0.325,0.07,0.07,0.07,0.07,0.07,28357,0.087,0.114,0.165,0.07,13814.6,73064.5,83706.5
VBC,2025-05-07,21879976,0.325,0.07,0.07,0.07,0.07,0.07,0,0.087,0.114,0.165,0.07,13814.6,73064.5,83588.2
VBC,2025-05-08,21879976,0.325,0.07,0.07,0.07,0.07,0.07,0,0.086,0.113,0.165,0.07,13752.2,72304.5,81657.5
VBC,2025-05-09,21879976,0.325,0.071,0.071,0.07,0.07,0.07,278015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEE,2025-05-05,118302600,1.475,0.92,0.92,0.92,0.92,0.92,48017,0.922,1.229,1.901,0.765,64110.4,96139.6,120089.0
VEE,2025-05-06,118302600,1.475,0.895,0.935,0.895,0.9,0.9,4900,0.921,1.226,1.901,0.765,31947.2,92907.8,120105.0
VEE,2025-05-07,118302600,1.475,0.91,0.91,0.905,0.91,0.91,24100,0.921,1.222,1.886,0.765,30334.9,86572.9,119851.0
VEE,2025-05-08,118302600,1.475,0.92,0.935,0.9,0.93,0.93,5692,0.921,1.22,1.886,0.765,22794.4,85111.6,119681.0
VEE,2025-05-09,118302600,1.475,0.93,0.93,0.88,0.885,0.885,11255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,2025-05-05,4131987712,0.331,4.35,4.38,4.315,4.34,4.34,2249308,4.103,3.991,4.631,3.246,3110000.0,2780990.0,2344000.0
VNT,2025-05-06,4131987712,0.331,4.34,4.45,4.34,4.44,4.44,1972649,4.116,3.995,4.631,3.246,2947560.0,2735730.0,2345540.0
