ticker,shareholder_name,event_date,source,Latest_Holdings,Latest_Percentage
FOS,FOS CAPITAL LIMITED,10/04/2025,new,705,7.05
FOS,SKM INVESTMENT GROUP PTY LTD,27/02/2024,change,30810000,57.26
GWA,MITSUBISHI UFJ FINANCIAL GROUP INC,30/10/2024,cease,,
GWA,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED,29/10/2024,cease,,
GWA,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,21/03/2025,change,46036967,17.359
GWA,VANGUARD GROUP,22/11/2024,new,13315278,5.021
GWA,SPHERIA ASSET MANAGEMENT PTY LTD,5/05/2025,change,18094570,6.82
HCL,JWT HOLDINGS PTY LTD,21/02/2024,new,5214403,5.08
HNG,PERENNIAL VALUE MANAGEMENT LIMITED,2/05/2025,change,66751231,1227
HNG,AD & MP BEARD ATF AD & MP BEARD SUPERANNUATION FUND,29/04/2025,change,37272332,6.85
HNG,JAMES FAMILY INVESTMENTS LTD,30/04/2025,change,68000777,12.5
HNG,SEE ANNEXURE A,7/08/2024,change,17918723,5.5
HNG,MR. JAMES ROBERT BALDWIN,17/09/2024,cease,,
HNG,SERY GROUP,22/05/2024,cease,,
HNG,CONSTABLE GROUP,17/09/2024,cease,,
HNG,H&G HIGH CONVICTION LIMITED,1/05/2025,cease,,
IFT,ROBERT WILLIAM BENTLEY MORRISON,16/07/2024,cease,,
IFT,FIRSTCAPE GROUP LIMITED,5/12/2024,change,49429531,5.114
IG6,COMET RESOURCES LIMITED,13/06/2024,change,32776319,16.93
IPG,MOHAMED YOOSUFF AND MARY YOOSUFF,10/09/2024,change,10284704,9.95
IPG,MA FINANCIAL GROUP LIMITED,28/01/2025,change,10276024,9.91
IPG,PLATYPUS ASSET MANAGEMENT PTY LTD,26/11/2024,cease,,
IPG,GEOFFREY THOMAS BACON,26/04/2024,cease,,
IPG,GREENCAPE CAPITAL PTY LTD,4/12/2024,new,5312843,5.12
IPG,CHALLENGER LIMITED (AND ITS ENTITIES LISTED IN ANNEXURE 2),4/12/2024,new,5312843,5.12
IPG,QVG CAPITAL PTY LTD,8/10/2024,new,5620250,5.42
JLG,STATE STREET CORPORATION AND SUBSIDIARIES,2/05/2025,cease,,
JLG,STATE STREET CORPORATION,30/04/2025,new,15389208,5.44
JLG,AUSTRALIANSUPER PTY LTD,7/03/2025,cease,,
JLG,UBS GROUP AG AND ITS RELATED BODIES CORPORATE,6/02/2025,cease,,
JLG,FISHER FUNDS MANAGEMENT LIMITED,24/09/2024,change,21146605,7.5925
JLG,J P MORGAN CHASE & CO AND ITS AFFILIATES,14/03/2025,cease,,
KOV,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,12/11/2024,new,588266,5.006
KOV,MITSUBISHI UFJ FINANCIAL GROUP INC,21/05/2024,cease,,
KOV,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED,20/05/2024,cease,,
KOV,COMMONWEALTH BANK OF AUSTRALIA ACN 123 123 124 (CBA) AND ITS RELATED BODIES CORPORATE LISTED IN ANNEXURE A,20/05/2024,cease,,
KOV,PHOENIX PORTFOLIOS PTY LTD,2/10/2024,cease,,
KOV,SUPANNUATION AND INVESTMENTS HOLDCO PTY LTD,20/05/2024,cease,,
LBL,UNIVERSAL-INVESTMENT-GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,20/03/2024,change,5812789,4.999
LIS,PPK AUST. PTY LTD,1/11/2024,change,251235441,39.24
LYL,LUALA PTY LTD,28/03/2024,cease,,
MGH,MAAS GROUP HOLDINGS LIMITED,23/08/2024,cease,,
MND,STATE STREET CORPORATION AND SUBSIDIARIES,24/03/2025,cease,,
MND,['BLACKROCK GROUP'],28/04/2025,cease,,
MND,BLACKROCK GROUP,22/04/2025,new,4961169,5.01
MND,VANGUARD GROUP,27/12/2024,change,6037462,6.114
MPW,MAYBANK SECURITIES PTE. LTD.,10/03/2025,new,10000000,7.18
MPW,ADVANCED SCIENCE & INNOVATION COMPANY (ASIC) LLC,26/03/2025,cease,,
