,Ticker,Company,Sector
104,AL3,AML3D LIMITED,Capital Goods
105,AOV,AMOTIV LIMITED,Automobiles & Components
106,AMP,AMP LIMITED,Financial Services
107,ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
108,AEL,AMPLITUDE ENERGY LIMITED,Energy
109,ALD,AMPOL LIMITED,Energy
110,AN1,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
111,ANR,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
112,ANX,ANAX METALS LIMITED,Materials
113,ASL,ANDEAN SILVER LIMITED,Materials
114,ADN,ANDROMEDA METALS LIMITED,Materials
115,ATM,ANEKA TAMBANG (PERSERO) TBK (PT),Materials
116,ANN,ANSELL LIMITED,Health Care Equipment & Services
117,ASN,ANSON RESOURCES LIMITED,Materials
118,AM5,ANTARES METALS LIMITED,Materials
119,ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
120,AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,Health Care Equipment & Services
121,AAU,ANTILLES GOLD LIMITED,Materials
122,AZY,ANTIPA MINERALS LIMITED,Materials
123,ANZ,ANZ GROUP HOLDINGS LIMITED,Banks
124,APA,APA GROUP,Utilities
125,AP2,APA INFRASTRUCTURE LIMITED,Not Applic
126,APC,APC MINERALS LIMITED,Materials
127,AHX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services
128,AON,APOLLO MINERALS LIMITED,Materials
129,AO2,APOLLO SERIES 2017-2 TRUST,Not Applic
130,AO3,APOLLO SERIES 2018-1 TRUST,Not Applic
131,APX,APPEN LIMITED,Software & Services
132,AQN,AQUIRIAN LIMITED,Commercial & Professional Services
133,ARU,ARAFURA RARE EARTHS LTD,Materials
134,ARB,ARB CORPORATION LIMITED.,Automobiles & Components
135,ARC,ARC FUNDS LIMITED,Financial Services
136,AM7,ARCADIA MINERALS LIMITED,Materials
137,AXE,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment
138,AR9,ARCHTIS LIMITED,Software & Services
139,ARL,ARDEA RESOURCES LIMITED,Materials
140,ADV,ARDIDEN LTD,Materials
141,ARF,ARENA REIT.,Equity Real Estate Investment Trusts (REITs)
142,AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
143,RGT,ARGENT BIOPHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
144,ARD,ARGENT MINERALS LIMITED,Materials
145,ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic
146,ARG,ARGO INVESTMENTS LIMITED,Not Applic
147,AGY,ARGOSY MINERALS LIMITED,Materials
148,ARA,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services
149,ARI,ARIKA RESOURCES LIMITED,Materials
150,ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services
151,AZL,ARIZONA LITHIUM LIMITED,Materials
152,AHK,ARK MINES LIMITED,Materials
153,A1N,ARN MEDIA LIMITED,Media & Entertainment
154,ARX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
155,ALA,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
156,AMD,ARROW MINERALS LTD,Materials
157,ARV,ARTEMIS RESOURCES LIMITED,Materials
158,ATG,ARTICORE GROUP LIMITED,Consumer Discretionary Distribution & Retail
159,AYA,ARTRYA LIMITED,Health Care Equipment & Services
160,AAJ,ARUMA RESOURCES LIMITED,Materials
161,AS1,ASARA RESOURCES LIMITED,Materials
162,AFA,ASF GROUP LIMITED,Financial Services
163,ASH,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services
164,AZ9,ASIAN BATTERY METALS PLC,Materials
165,ATB,ASIAN DEVELOPMENT BANK,Not Applic
166,AS2,ASKARI METALS LIMITED,Materials
167,APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs)
168,ASP,ASPERMONT LIMITED.,Media & Entertainment
169,AKM,ASPIRE MINING LIMITED,Materials
170,ASR,ASRA MINERALS LIMITED,Materials
171,ASV,ASSET VISION CO LTD,Commercial & Professional Services
172,AOH,ASSETORA LIMITED,Financial Services
173,AO1,ASSETOWL LIMITED,Software & Services
174,APL,ASSOCIATE GLOBAL PARTNERS LIMITED,Financial Services
175,ASO,ASTON MINERALS LIMITED,Materials
176,AAR,ASTRAL RESOURCES NL,Materials
177,ATR,ASTRON CORPORATION LIMITED,Materials
178,ASE,ASTUTE METALS NL,Materials
179,ASX,ASX LIMITED,Financial Services
180,AHN,ATHENA RESOURCES LIMITED,Materials
181,A11,ATLANTIC LITHIUM LIMITED,Materials
182,ALX,ATLAS ARTERIA,Transportation
